record_type,record_id,family_or_stratum,accepted_rows,accepted_tasks,correct_rows,incorrect_rows,accepted_errors,accepted_error_rate,accepted_error_upper_95,counterfactual_correct,candidate_screen,detail,retrospective_only
task,v2_flat_01,flat_scalar,,,0,3,3,,,,,"{""contract_pattern"":""unanimous_pass"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""number"":1,""string"":2},""maximum_declared_nesting_depth"":1,""top_level_key_count"":4},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_flat_02,flat_scalar,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""number"":1,""string"":2},""maximum_declared_nesting_depth"":1,""top_level_key_count"":4},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":2}",True
task,v2_flat_03,flat_scalar,,,1,2,0,,,,,"{""contract_pattern"":""mixed_contract_status"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""number"":1,""string"":2},""maximum_declared_nesting_depth"":1,""top_level_key_count"":4},""correctness_pattern"":""mixed_correctness"",""unique_candidate_count"":2}",True
task,v2_flat_04,flat_scalar,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""number"":2,""string"":1},""maximum_declared_nesting_depth"":1,""top_level_key_count"":4},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_flat_05,flat_scalar,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""number"":1,""string"":2},""maximum_declared_nesting_depth"":1,""top_level_key_count"":4},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_flat_06,flat_scalar,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""number"":2,""string"":1},""maximum_declared_nesting_depth"":1,""top_level_key_count"":4},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_flat_07,flat_scalar,,,0,3,3,,,,,"{""contract_pattern"":""unanimous_pass"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""number"":1,""string"":2},""maximum_declared_nesting_depth"":1,""top_level_key_count"":4},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_flat_08,flat_scalar,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""number"":1,""string"":2},""maximum_declared_nesting_depth"":1,""top_level_key_count"":4},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":2}",True
task,v2_flat_09,flat_scalar,,,3,0,0,,,,,"{""contract_pattern"":""unanimous_pass"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""number"":1,""string"":1},""maximum_declared_nesting_depth"":1,""top_level_key_count"":3},""correctness_pattern"":""unanimous_correct"",""unique_candidate_count"":1}",True
task,v2_flat_10,flat_scalar,,,3,0,0,,,,,"{""contract_pattern"":""unanimous_pass"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""number"":2,""string"":1},""maximum_declared_nesting_depth"":1,""top_level_key_count"":4},""correctness_pattern"":""unanimous_correct"",""unique_candidate_count"":1}",True
task,v2_select_01,record_selection,,,0,3,3,,,,,"{""contract_pattern"":""unanimous_pass"",""contract_signature"":{""declared_type_counts"":{""string"":3},""maximum_declared_nesting_depth"":1,""top_level_key_count"":3},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_select_02,record_selection,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""string"":2},""maximum_declared_nesting_depth"":1,""top_level_key_count"":3},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_select_03,record_selection,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""number"":1,""string"":1},""maximum_declared_nesting_depth"":1,""top_level_key_count"":3},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_select_04,record_selection,,,0,3,3,,,,,"{""contract_pattern"":""unanimous_pass"",""contract_signature"":{""declared_type_counts"":{""number"":1,""string"":1},""maximum_declared_nesting_depth"":1,""top_level_key_count"":2},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_select_05,record_selection,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""number"":1,""string"":2},""maximum_declared_nesting_depth"":1,""top_level_key_count"":3},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_select_06,record_selection,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""string"":2},""maximum_declared_nesting_depth"":1,""top_level_key_count"":3},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_select_07,record_selection,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""number"":1,""string"":1},""maximum_declared_nesting_depth"":1,""top_level_key_count"":2},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_select_08,record_selection,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""number"":1,""string"":2},""maximum_declared_nesting_depth"":1,""top_level_key_count"":3},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_select_09,record_selection,,,0,3,3,,,,,"{""contract_pattern"":""unanimous_pass"",""contract_signature"":{""declared_type_counts"":{""number"":1,""string"":2},""maximum_declared_nesting_depth"":1,""top_level_key_count"":3},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_select_10,record_selection,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""number"":1,""string"":1},""maximum_declared_nesting_depth"":1,""top_level_key_count"":3},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_type_01,type_boundary,,,3,0,0,,,,,"{""contract_pattern"":""unanimous_pass"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""number"":1,""string"":1},""maximum_declared_nesting_depth"":1,""top_level_key_count"":3},""correctness_pattern"":""unanimous_correct"",""unique_candidate_count"":1}",True
task,v2_type_02,type_boundary,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""null"":1,""string"":1},""maximum_declared_nesting_depth"":1,""top_level_key_count"":3},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":2}",True
task,v2_type_03,type_boundary,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""string"":1},""maximum_declared_nesting_depth"":1,""top_level_key_count"":2},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_type_04,type_boundary,,,3,0,0,,,,,"{""contract_pattern"":""unanimous_pass"",""contract_signature"":{""declared_type_counts"":{""number"":1,""string"":1},""maximum_declared_nesting_depth"":1,""top_level_key_count"":2},""correctness_pattern"":""unanimous_correct"",""unique_candidate_count"":1}",True
task,v2_type_05,type_boundary,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""array"":1,""object"":1,""string"":1},""maximum_declared_nesting_depth"":2,""top_level_key_count"":3},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
